SKU,MODEL,Synonym,PART BRAND,Item Name,Synonmys_1,Synonmys_2,Warehouse Name,Stock On Hand,Price without GST,GST,Price with GST,,,,,,,,,,,,,,
SKU00334952,VJ81,SB81,SVS,SB81 SUPPORT BAR PAD,SIDE SUPPORT BOLT PAD,SIDE SUPPORT BOLT PAD,Pune Warehouse,8,686,18%,810,,,,,,,,,,,,,,
SKU00217282,VJ81,SB81,IMPORTED,SB81 SUPPORT BOLT HOUSING,SIDE SUPPORT BOLT HOUSING,SIDE SUPPORT BOLT HOUSING,Pune Warehouse,6,3449,18%,4070,,,,,,,,,,,,,,
SKU00208607,VJ40,SB40,IMPORTED,SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,6,1153,18%,1360,,,,,,,,,,,,,,
SKU00086622,VJ50,SB50,IMPORTED,Side Bolts,SIDE SUPPORT BOLT PAD,SIDE SUPPORT BOLT PAD,Pune Warehouse,2,1381,18%,1630,,,,,,,,,,,,,,
SKU00334027,VJ81,SB81,IMPORTED,Side Bolts,SIDE SUPPORT BOLT PAD,SIDE SUPPORT BOLT PAD,Pune Warehouse,7,958,18%,1130,,,,,,,,,,,,,,
SKU00212461,VJ43,SB43,IMPORTED,"Stopper/Lock Collar (OD=75mm,ID=45mm,Thickness= 20mm)",STOPPER RING,STOPPER RING,Pune Warehouse,45,458,18%,540,,,,,,,,,,,,,,
SKU00213232,VJ50,SB50,AFTER MARKET,VJ50 POWERCELL,POWERCEL,POWERCEL,Not available,1,172500,18%,203550,,,,,,,,,,,,,,
SKU00209799,VJ50,SB50,PARKER,VJ50 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,8,1153,18%,1360,,,,,,,,,,,,,,
SKU00208652,VJ50,SB50,PARKER,VJ50 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,YL SmartCity CDC,1,1153,18%,1360,,,,,,,,,,,,,,
SKU00212105,VJ81,SB81,AFTER MARKET,VJ81 HD POWERCELL,POWERCEL,POWERCEL,Not available,1,207000,18%,244260,,,,,,,,,,,,,,
SKU00210443,VJ43,SB43,AFTER MARKET,"Washer (OD=75mm,ID=45mm,Thickness=8mm)",BRACKET PIN WASHER,BRACKET PIN WASHER,Pune Warehouse,42,305,18%,360,,,,,,,,,,,,,,
SKU00205594,VJ81,SB81,IMPORTED,Breaker Pads Set,PAD SET,PAD SET,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00210425,3DX,3DX,IMPORTED,Breaker Piping Kit (SB43),Piping Kit,Piping Kit,Not available,0,56254,18%,66380,,,,,,,,,,,,,,
SKU00201997,DMB210,DMB210,HHQ,Chisel Blunt 135*1300 40 cr,DMB210 Blunt Chisel  40 cr,DMB210 Blunt Chisel  40 cr,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00201990,MB1500,MB1500,HHQ,Chisel Blunt 135*1300 42 cr,MB1500 Blunt Chisel  42 cr,MB1500 Blunt Chisel  42 cr,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00201998,DMB210,DMB210,HHQ,Chisel Blunt 135*1300 42 cr,DMB210 Blunt Chisel  42 cr,DMB210 Blunt Chisel  42 cr,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00309056,MB1500,MB1500,VAJRA ECO,Chisel Blunt 135*1300 42Cr (VAJRA-ECO),MB1500 Blunt Chisel  42Cr,MB1500 Blunt Chisel  42Cr,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00309057,DMB210,DMB210,VAJRA-ECONOMY,Chisel Blunt 135*1300 42Cr (VAJRA-ECO),DMB210 Blunt Chisel  42Cr,DMB210 Blunt Chisel  42Cr,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00205050,MB1500,MB1500,VAJRA,Chisel Blunt 40 CR 135*1300,MB1500 Blunt Chisel 40 CR ,MB1500 Blunt Chisel 40 CR ,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00205056,DMB210,DMB210,VAJRA,Chisel Blunt 40 CR 135*1300,DMB210 Blunt Chisel 40 CR ,DMB210 Blunt Chisel 40 CR ,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00205051,MB1500,MB1500,VAJRA,Chisel Blunt 42 CR 135*1300,MB1500 Blunt Chisel 42 CR ,MB1500 Blunt Chisel 42 CR ,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00205057,DMB210,DMB210,VAJRA,Chisel Blunt 42 CR 135*1300,DMB210 Blunt Chisel 42 CR ,DMB210 Blunt Chisel 42 CR ,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00216365,DMB215,DMB215,VAJRA,Chisel Blunt 42 CR 135*1300,DMB215 Blunt Chisel 42 CR ,DMB215 Blunt Chisel 42 CR ,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00334821,MB1200,MB1200,VAJRA,CHISEL BLUNT 42CR,MB1200 Blunt Chisel 42CR,MB1200 Blunt Chisel 42CR,Not available,0,14797,18%,17460,,,,,,,,,,,,,,
SKU00201991,MB1500,MB1500,HHQ,Chisel Wedge 135*1300 40 cr,MB1500 Wedge Chisel  40 cr,MB1500 Wedge Chisel  40 cr,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00201992,MB1500,MB1500,HHQ,Chisel Wedge 135*1300 42 cr,MB1500 Wedge Chisel  42 cr,MB1500 Wedge Chisel  42 cr,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00202000,DMB210,DMB210,HHQ,Chisel Wedge 135*1300 42 cr,DMB210 Wedge Chisel  42 cr,DMB210 Wedge Chisel  42 cr,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00205058,DMB210,DMB210,VAJRA,Chisel Wedge 40 CR 135*1300,DMB210 Wedge Chisel 40 CR ,DMB210 Wedge Chisel 40 CR ,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00205052,MB1500,MB1500,VAJRA,Chisel Wedge 40 CR 135*1300,MB1500 Wedge Chisel 40 CR ,MB1500 Wedge Chisel 40 CR ,Not available,0,15000,18%,17700,,,,,,,,,,,,,,
SKU00205048,DMB210,DMB210,VAJRA,Chisel Wedge 40 CR 140*1300,DMB210 Wedge Chisel 40 CR ,DMB210 Wedge Chisel 40 CR ,Not available,0,15500,18%,18290,,,,,,,,,,,,,,
SKU00205053,MB1500,MB1500,VAJRA,Chisel Wedge 42 CR 135*1300,MB1500 Wedge Chisel 42 CR ,MB1500 Wedge Chisel 42 CR ,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00205059,DMB210,DMB210,VAJRA,Chisel Wedge 42 CR 135*1300,DMB210 Wedge Chisel 42 CR ,DMB210 Wedge Chisel 42 CR ,Not available,0,17000,18%,20060,,,,,,,,,,,,,,
SKU00203994,VJ81,SB81,VAJRA,Front Head With Bush,Front Head With Bush,Front Head With Bush,Not available,0,62000,18%,73160,,,,,,,,,,,,,,
SKU00281113,VJ40,SB40,IMPORTED,GAS CYLINDER 4 KG,GAS CYLINDER 4 KG,GAS CYLINDER 4 KG,Not available,0,3297,18%,3890,,,,,,,,,,,,,,
SKU00281115,VJ43,SB43,IMPORTED,GAS CYLINDER 4 KG,GAS CYLINDER 4 KG,GAS CYLINDER 4 KG,Not available,0,3297,18%,3890,,,,,,,,,,,,,,
SKU00216612,VJ50,SB50,IMPORTED,Gas Cylinder 8KG,Gas Cylinder 8KG,Gas Cylinder 8KG,Not available,0,4500,18%,5310,,,,,,,,,,,,,,
SKU00218452,VJ43,SB43,IMPORTED,PAD SET WITH PLUS PAD,PAD SET,PAD SET,Not available,0,2703,18%,3190,,,,,,,,,,,,,,
SKU00217283,VJ81,SB81,IMPORTED,PAD SET WITH PLUS PAD,PAD SET,PAD SET,Not available,0,12500,18%,14750,,,,,,,,,,,,,,
SKU00281059,VJ43,SB43,KRIVI,PAD SET WITH PLUS PAD,PAD SET,PAD SET,Not available,0,2500,18%,2950,,,,,,,,,,,,,,
SKU00203528,VJ50,SB50,IMPORTED,Piping Kit,Piping Kit,Piping Kit,Not available,0,56254,18%,66380,,,,,,,,,,,,,,
SKU00218462,VJ43,SB43,IMPORTED,PIPING KIT WITH RETURN LINE FILTER,Piping Kit With Return Line Filter,Piping Kit With Return Line Filter,Not available,0,32000,18%,37760,,,,,,,,,,,,,,
SKU00216576,VJ50,SB50,IMPORTED,Rock Breaker Biscuit,Biscuit,Biscuit,Not available,0,797,18%,940,,,,,,,,,,,,,,
SKU00281119,VJ50,SB50,IMPORTED,ROCK BREAKER BISCUIT WITHOUT HOLE,Biscuit without hole,Biscuit without hole,Not available,0,822,18%,970,,,,,,,,,,,,,,
SKU00334337,VJ81,SB81,IMPORTED,ROCK BREAKER BUSH,ROCK BREAKER BUSH,ROCK BREAKER BUSH,Not available,0,1525,18%,1800,,,,,,,,,,,,,,
SKU00334338,VJ50,SB50,IMPORTED,ROCK BREAKER BUSH,ROCK BREAKER BUSH,ROCK BREAKER BUSH,Not available,0,1500,18%,1770,,,,,,,,,,,,,,
SKU00217874,VJ81,SB81,IMPORTED,Rock Breaker End Hose With Spring,Rock Breaker End Hose With Spring,Rock Breaker End Hose With Spring,Not available,0,3500,18%,4130,,,,,,,,,,,,,,
SKU00281117,VJ50,SB50,IMPORTED,ROCK BREAKER PAD SET,PAD SET,PAD SET,Not available,0,6958,18%,8210,,,,,,,,,,,,,,
SKU00216583,VJ81,SB81,IMPORTED,Rock Breaker Pedal Assembly,Rock Breaker Pedal Assembly,Rock Breaker Pedal Assembly,Not available,0,797,18%,940,,,,,,,,,,,,,,
SKU00334336,VJ81,SB81,IMPORTED,ROCK BREAKER PIN,ROCK BREAKER PIN,ROCK BREAKER PIN,Not available,0,3525,18%,4160,,,,,,,,,,,,,,
SKU00334339,VJ50,SB50,IMPORTED,ROCK BREAKER PIN,ROCK BREAKER PIN,ROCK BREAKER PIN,Not available,0,2203,18%,2600,,,,,,,,,,,,,,
SKU00216577,VJ50,SB50,IMPORTED,Rock Breaker Through Bolt,THROUGH BOLT,THROUGH BOLT,Not available,0,1297,18%,1530,,,,,,,,,,,,,,
SKU00312678,MB1500,MB1500,IMPORTED,ROCKBREAKER BISCUIT WITHOUT HOLE,Biscuit without hole,Biscuit without hole,Not available,0,1153,18%,1360,,,,,,,,,,,,,,
SKU00218726,VJ50,SB50,IMPORTED,ROCKBREAKER BUSH SET,ROCKBREAKER BUSH SET,ROCKBREAKER BUSH SET,Not available,0,4500,18%,5310,,,,,,,,,,,,,,
